Date,Last,diff_24h,diff_per_24h,Open,High,Low,Close,Volume
2019/3/12,3905.23 ,3.93,0.100634278,3903.76,3926.89,3863.56,3909.16,9809887079
2019/3/13,3909.16 ,-2.44,-0.062417501,3913.05,3926.6,3891.9,3906.72,9469184841
2019/3/14,3906.72 ,17.65,0.451785641,3905.58,3946.5,3901.3,3924.37,10480789570
2019/3/15,3924.37 ,36.54,0.931104865,3926.66,3968.54,3914.02,3960.91,9394210605
2019/3/16,3960.91 ,87.82,2.217167267,3963.9,4077.04,3961.66,4048.73,9856166973
2019/3/17,4048.73 ,-23.5,-0.580428925,4047.72,4054.12,4006.41,4025.23,8221625400
2019/3/18,4025.23 ,7.28,0.18085923,4029.97,4071.56,4009.12,4032.51,9646954186
2019/3/19,4032.51 ,38.68,0.959204069,4032.69,4082.22,4023.81,4071.19,9344919956
2019/3/20,4071.19 ,16.29,0.400128709,4070.79,4089.46,4031.11,4087.48,10175916388
2019/3/21,4087.48 ,-58.15,-1.42263693,4083.95,4097.36,4005.15,4029.33,10831212662
2019/3/22,4029.33 ,-5.36,-0.133024597,4028.51,4053.91,4021.54,4023.97,9252935969
2019/3/23,4023.97 ,11.86,0.294733808,4022.71,4049.88,4015.96,4035.83,9578850549
2019/3/24,4035.83 ,-13.66,-0.338468171,4035.16,4040.7,4006.19,4022.17,9144851065
2019/3/25,4022.17 ,-59.1,-1.469356094,4024.11,4038.84,3934.03,3963.07,10359818883
2019/3/26,3963.07 ,22.01,0.555377523,3969.23,3985.08,3944.75,3985.08,10707678815
2019/3/27,3985.08 ,101.99,2.559296175,3984.24,4087.07,3977.81,4087.07,10897131934
2019/3/28,4087.07 ,-17.96,-0.439434607,4087.58,4094.9,4040.27,4069.11,9353915899
2019/3/29,4069.11 ,29.26,0.719076162,4068.3,4113.5,4034.1,4098.37,10918665557
2019/3/30,4098.37 ,8.29,0.202275539,4092.14,4296.81,4053.91,4106.66,9732688060
2019/3/31,4106.66 ,-1.26,-0.030681868,4105.46,4113.02,4094.1,4105.4,9045122443
2019/4/1,4105.40 ,52.78,1.285623813,4105.36,4164.95,4096.9,4158.18,10157794171
2019/4/2,4158.18 ,721.7,17.35615101,4156.92,4905.95,4155.32,4879.88,21315047816
2019/4/3,4879.88 ,93.14,1.908653491,4879.96,5307,4876.62,4973.02,22899891582
2019/4/4,4973.02 ,-50.22,-1.009849146,4971.31,5063.16,4836.79,4922.8,18251810240
2019/4/5,4922.80 ,113.88,2.313317624,4922.81,5053.51,4919.49,5036.68,16837325387
2019/4/6,5036.68 ,23.14,0.459429624,5036.79,5205.82,4992.22,5059.82,16929795194
2019/4/7,5059.82 ,139.08,2.748714381,5062.79,5235.19,5050.41,5198.9,16655416140
2019/4/8,5198.90 ,90.87,1.747869742,5199.84,5318.84,5148.21,5289.77,17154113634
2019/4/9,5289.77 ,-84.81,-1.603283319,5289.92,5289.92,5167.42,5204.96,14722104361
2019/4/10,5204.96 ,119.59,2.29761612,5204.11,5421.65,5193.38,5324.55,15504590933
2019/4/11,5324.55 ,-260.06,-4.884168615,5325.08,5354.23,5017.3,5064.49,16555616019
